Classifier,1%,5%,10%,15%,20%,Number of Features
SC_ALL,0.87,0.8,0.7,0.65,0.58,26
SC_GENPROT,0.8,0.71,0.62,0.59,0.54,16
SC_NO_GENPROT,0.67,0.49,0.47,0.43,0.4,14
