Classifier,1%,5%,10%,15%,20%,Number of Features
SC_ALL,0.9,0.79,0.68,0.62,0.57,22
SC_GENPROT,0.83,0.72,0.63,0.58,0.53,10
SC_NO_GENPROT,0.6,0.53,0.45,0.42,0.39,13
