Classifier,1%,5%,10%,15%,20%,Number of Features
SC_ALL,0.89,0.81,0.69,0.66,0.59,37
SC_GENPROT,0.84,0.74,0.6,0.57,0.53,8
SC_NO_GENPROT,0.53,0.54,0.47,0.41,0.38,13
